STORY PLAYGROUND,4
COLONEL CHARLES YOUNG TRIANGLE,6
BENJAMIN GLADSTONE SQUARE,2
GLENWOOD PLAYGROUND,2
DONNELLAN SQUARE,1
MARCY PLAYGROUND,7
RAINEY PARK QUEENS,11
MCDONALD PLAYGROUND BROOKLYN,6
RAILROAD PLAYGROUND,4
HOPE BALLFIELD,3
REMSEN PLAYGROUND,2
WAGNER HOUSES POOL,1
HUNTS POINT RIVERSIDE PARK,2
MSGR. MCGOLRICK PARK,14
JACKIE ROBINSON PARKWAY,1
ALBEN TRIANGLE,1
MCCAFFREY PLAYGROUND,10
DECATUR PLAYGROUND,2
ALMEDA PLAYGROUND,5
NAUTILUS PLAYGROUND QUEENS,1
STAPLETON PLAYGROUND,5
PENA HERRERA PARK,2
WILLOWBROOK PARK,2
MURPHY'S BROTHER'S PLAYGROUND,2
MINETTA TRIANGLE,1
BENSONHURST PARK,11
COLLEGE POINT PARK,4
HOWARD VON DOHLEN PLAYGROUND,4
EQUITY PARK,8
RODNEY PLAYGROUND NORTH,2
FORDHAM LANDING PLAYGROUND,1
DYKER BEACH PARK,59
GRAND CENTRAL PARKWAY,3
CONFERENCE HOUSE PARK,6
FERMI PLAYGROUND,1
UNNAMED PARK ON SOUNDVIEW AVENUE,2
JEROME PLAYGROUND SOUTH,1
BLAKE HOBBS PLAYGROUND,3
J.J. BYRNE PLAYGROUND,19
HOFFMAN PARK,21
PENN SOUTH PLAYGROUND,13
BEACH 59TH ST PLAYGROUND,3
BULOVA PARK,3
PLEASANT PARK GARDEN,1
CHIEF DENNIS L. DEVLIN PARK,12
BENNETT PARK,4
CONEY ISLAND BOAT BASIN,1
WATSON GLEASON PLAYGROUND,27
SOL BLOOM PLAYGROUND,7
JOSEPH AUSTIN PLAYGROUND,5
WASHINGTON HALL PARK,9
MACNEIL PARK,6
CRACK IS WACK PLAYGROUND,4
SOUTH OXFORD PARK,2
AHEARN PARK,1
BATH BEACH PARK,13
LIVONIA PARK,5
MAPES POOL,1
SHERMAN CREEK,6
IDLEWILD PARK,7
ANNADALE PLAYGROUND,5
MOORE HOMESTEAD PLAYGROUND,33
HOMECREST PLAYGROUND,18
COL. YOUNG PLAYGROUND,19
BELT PARKWAY/SHORE PARKWAY,16
CHRISTOPHER PARK,6
BLOOMINGDALE PARK,5
GROVE HILL PLAYGROUND,3
TEN EYCK PLAZA,2
OSBORN PLAYGROUND,7
UNNAMED PARK ON JAY STREET,1
SARATOGA BALLFIELDS,1
THOMAS GREENE PLAYGROUND,9
NORTHERN PLAYGROUND,39
SCARANGELLA PARK,5
THOMAS PAINE PARK,2
THOMAS BOYLAND PARK,1
WILLIS PLAYGROUND,17
UNNAMED PARK ON GRAND AVENUE,2
MAURICE A FITZGERALD PLAYGROUND,7
PLIMPTON PLAYGROUND,12
ANIBAL AVILES PLAYGROUND,2
BLAND PLAYGROUND,16
MAE GRANT PLAYGROUND,2
HACKETT PARK,1
RIVERSIDE PARK,314
ST. MARY'S PARK BRONX,186
EDMONDS PLAYGROUND,4
EAST RIVER ESPLANADE AT E 36TH ST AND FDR,5
PATTERSON PLAYGROUND,9
HUNTER'S POINT SOUTH PARK,7
EL SHABAZZ PLAYGROUND,1
BILL BOJANGLES ROBINSON PLAYGROUND,2
RAOUL WALLENBERG FOREST,1
BRONX RIVER PARKWAY,29
CHALLENGE PLAYGROUND,1
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,1
GORMAN PARK,12
ALBERT CAPSOUTO PARK,2
MARTIN LUTHER KING PLAYGROUND,9
AMERICAN PLAYGROUND,4
STEUBEN PLAYGROUND,1
VETERNS CIRCLE,1
STERNBERG PARK,15
MILESTONE PARK,7
PLEASANT VILLAGE COMMUNITY GARDEN,1
DETECTIVE JOSEPH MAYROSE PARK,2
MCCARREN PARK,96
POLICE OFFICER NICHOLAS DEMUTIIS PARK,7
STARR PLAYGROUND,3
MADISON SQUARE PARK,27
