BRIDGE,6034
DOCTOR/DENTIST OFFICE,13386
PUBLIC BUILDING,35437
HIGHWAY/PARKWAY,16330
GAS STATION,12996
PRIVATE/PAROCHIAL SCHOOL,6750
COMMERCIAL BUILDING,144019
CHECK CASHING BUSINESS,6167
PARKING LOT/GARAGE (PRIVATE),31617
DRY CLEANER/LAUNDRY,11438
VIDEO STORE,2020
BUS (NYC TRANSIT),11699
BOOK/CARD,1784
STREET,1841239
TRAMWAY,106
RESIDENCE - APT. HOUSE,1158315
CHAIN STORE,107217
SMALL MERCHANT,23747
GROCERY/BODEGA,63868
SHOE,3946
BANK,23412
BUS (OTHER),2823
TAXI/LIVERY (UNLICENSED),957
CANDY STORE,7137
CONSTRUCTION SITE,9170
GYM/FITNESS FACILITY,17510
AIRPORT TERMINAL,15869
CEMETERY,697
SYNAGOGUE,2055
RESIDENCE-HOUSE,549568
FERRY/FERRY TERMINAL,1566
FAST FOOD,25516
FACTORY/WAREHOUSE,5969
BEAUTY & NAIL SALON,14432
PARKING LOT/GARAGE (PUBLIC),32031
LOAN COMPANY,404
TAXI (LIVERY LICENSED),4797
BAR/NIGHT CLUB,62573
ATM,4747
STORAGE FACILITY,4981
OPEN AREAS (OPEN LOTS),8537
PHOTO/COPY,780
FOOD SUPERMARKET,29703
TAXI (YELLOW LICENSED),5441
STORE UNCLASSIFIED,25614
LIQUOR STORE,3730
TRANSIT FACILITY (OTHER),4704
DRUG STORE,42202
RESIDENCE - PUBLIC HOUSING,419936
OTHER,148410
SOCIAL CLUB/POLICY,3544
MOSQUE,757
RESTAURANT/DINER,62655
TRANSIT - NYC SUBWAY,117859
VARIETY STORE,7828
TELECOMM. STORE,7531
JEWELRY,4133
ABANDONED BUILDING,2126
HOTEL/MOTEL,22350
OTHER HOUSE OF WORSHIP,823
CHURCH,9969
,35198
PUBLIC SCHOOL,71369
HOSPITAL,26064
BUS TERMINAL,3981
BUS STOP,4805
MARINA/PIER,2366
PARK/PLAYGROUND,66910
TUNNEL,2998
CLOTHING/BOUTIQUE,46040
DEPARTMENT STORE,107343
