('DISTRICT ATTORNEY OFFICE', 'STRING', 'Juris_Desc', 'VALID', 1)
('NYS DEPT ENVIRONMENTAL CONSERVATION', 'STRING', 'Juris_Desc', 'VALID', 1)
('CONRAIL', 'STRING', 'Juris_Desc', 'VALID', 14)
('NYC DEPT ENVIRONMENTAL PROTECTION', 'STRING', 'Juris_Desc', 'VALID', 14)
('SEA GATE POLICE DEPT', 'STRING', 'Juris_Desc', 'VALID', 30)
('NYS DEPT TAX AND FINANCE', 'STRING', 'Juris_Desc', 'VALID', 82)
('NYC PARKS', 'STRING', 'Juris_Desc', 'VALID', 131)
('AMTRACK', 'STRING', 'Juris_Desc', 'VALID', 162)
('NEW YORK CITY SHERIFF OFFICE', 'STRING', 'Juris_Desc', 'VALID', 164)
('U.S. PARK POLICE', 'STRING', 'Juris_Desc', 'VALID', 206)
('N.Y. STATE PARKS', 'STRING', 'Juris_Desc', 'VALID', 320)
('STATN IS RAPID TRANS', 'STRING', 'Juris_Desc', 'VALID', 352)
('LONG ISLAND RAILRD', 'STRING', 'Juris_Desc', 'VALID', 461)
('FIRE DEPT (FIRE MARSHAL)', 'STRING', 'Juris_Desc', 'VALID', 514)
('METRO NORTH', 'STRING', 'Juris_Desc', 'VALID', 595)
('N.Y. STATE POLICE', 'STRING', 'Juris_Desc', 'VALID', 1351)
('HEALTH & HOSP CORP', 'STRING', 'Juris_Desc', 'VALID', 2801)
('TRI-BORO BRDG TUNNL', 'STRING', 'Juris_Desc', 'VALID', 4880)
('DEPT OF CORRECTIONS', 'STRING', 'Juris_Desc', 'VALID', 6515)
('POLICE DEPT NYC', 'STRING', 'Juris_Desc', 'VALID', 8987)
('OTHER', 'STRING', 'Juris_Desc', 'VALID', 14964)
('PORT AUTHORITY', 'STRING', 'Juris_Desc', 'VALID', 27089)
('N.Y. TRANSIT POLICE', 'STRING', 'Juris_Desc', 'VALID', 120785)
('N.Y. HOUSING POLICE', 'STRING', 'Juris_Desc', 'VALID', 428947)
('N.Y. POLICE DEPT', 'STRING', 'Juris_Desc', 'VALID', 4960669)
