('05/26/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/25/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/18/1987', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/20/1912', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/12/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/12/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/18/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/18/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/09/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/28/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/03/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/05/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/02/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/03/1984', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/21/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/17/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/04/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/09/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/29/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('10/20/1974', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/28/1989', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/22/1914', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/21/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/13/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/19/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/12/1912', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/01/1988', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/27/1914', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/23/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/06/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/13/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/13/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/21/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/08/1016', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/31/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/11/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/13/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/19/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/03/1994', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/09/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/23/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/13/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/09/1988', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/04/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/28/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/22/1973', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/02/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/16/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/22/1978', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/16/1015', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/19/1966', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/27/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('12/30/2004', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/13/1993', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/12/1941', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/01/1984', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/07/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/27/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/20/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/07/1996', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/14/1967', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/08/1016', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/11/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/09/1016', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/21/1983', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/02/2002', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/13/1973', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/05/1992', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/10/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('06/17/1999', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/04/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/17/1991', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/05/1995', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/15/1985', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/01/1971', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/06/2000', 'DATETIME', 'Complaint Date', 'VALID', 1)
('08/02/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('04/18/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/10/1998', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/26/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/28/2003', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/12/1981', 'DATETIME', 'Complaint Date', 'VALID', 1)
('07/21/1972', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/05/1997', 'DATETIME', 'Complaint Date', 'VALID', 1)
('02/18/1986', 'DATETIME', 'Complaint Date', 'VALID', 1)
('01/01/1977', 'DATETIME', 'Complaint Date', 'VALID', 1)
('05/11/2001', 'DATETIME', 'Complaint Date', 'VALID', 1)
('03/26/1980', 'DATETIME', 'Complaint Date', 'VALID', 1)
('09/12/1016', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/20/1909', 'DATETIME', 'Complaint Date', 'VALID', 1)
('11/27/1982', 'DATETIME', 'Complaint Date', 'VALID', 1)
