('09/02/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/13/1996', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/27/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('03/11/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/24/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('05/07/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/25/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/12/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/22/1998', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('07/14/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/17/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('01/09/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/03/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/22/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/25/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/05/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/22/2001', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/07/2005', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('08/29/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('04/15/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('02/23/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/11/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/01/2002', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/25/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('10/14/2003', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('09/10/1997', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('12/04/2004', 'DATETIME', 'Complaint Date', 'INVALID', 1)
('11/11/1999', 'DATETIME', 'Complaint Date', 'INVALID', 1)
