('12/27/2010', 'DATETIME', 'Report Date', 'VALID', 334)
('10/29/2012', 'DATETIME', 'Report Date', 'VALID', 423)
('12/26/2010', 'DATETIME', 'Report Date', 'VALID', 568)
('01/23/2016', 'DATETIME', 'Report Date', 'VALID', 569)
('02/12/2006', 'DATETIME', 'Report Date', 'VALID', 612)
('01/24/2016', 'DATETIME', 'Report Date', 'VALID', 635)
('11/27/2014', 'DATETIME', 'Report Date', 'VALID', 662)
('08/28/2011', 'DATETIME', 'Report Date', 'VALID', 664)
('10/30/2012', 'DATETIME', 'Report Date', 'VALID', 670)
('12/25/2011', 'DATETIME', 'Report Date', 'VALID', 675)
('12/25/2010', 'DATETIME', 'Report Date', 'VALID', 677)
('12/25/2009', 'DATETIME', 'Report Date', 'VALID', 695)
('12/25/2014', 'DATETIME', 'Report Date', 'VALID', 700)
('12/25/2006', 'DATETIME', 'Report Date', 'VALID', 706)
('12/25/2008', 'DATETIME', 'Report Date', 'VALID', 714)
('12/25/2012', 'DATETIME', 'Report Date', 'VALID', 718)
('02/10/2010', 'DATETIME', 'Report Date', 'VALID', 740)
('01/27/2015', 'DATETIME', 'Report Date', 'VALID', 741)
('11/24/2011', 'DATETIME', 'Report Date', 'VALID', 751)
('11/22/2012', 'DATETIME', 'Report Date', 'VALID', 754)
('11/26/2009', 'DATETIME', 'Report Date', 'VALID', 757)
('11/24/2016', 'DATETIME', 'Report Date', 'VALID', 759)
('12/25/2016', 'DATETIME', 'Report Date', 'VALID', 764)
('11/27/2008', 'DATETIME', 'Report Date', 'VALID', 768)
('11/28/2013', 'DATETIME', 'Report Date', 'VALID', 781)
('02/26/2010', 'DATETIME', 'Report Date', 'VALID', 788)
('11/25/2010', 'DATETIME', 'Report Date', 'VALID', 796)
('12/25/2015', 'DATETIME', 'Report Date', 'VALID', 797)
('11/26/2015', 'DATETIME', 'Report Date', 'VALID', 800)
('12/20/2009', 'DATETIME', 'Report Date', 'VALID', 801)
('11/23/2006', 'DATETIME', 'Report Date', 'VALID', 802)
('12/25/2013', 'DATETIME', 'Report Date', 'VALID', 805)
('02/14/2016', 'DATETIME', 'Report Date', 'VALID', 815)
('12/25/2007', 'DATETIME', 'Report Date', 'VALID', 817)
('12/28/2010', 'DATETIME', 'Report Date', 'VALID', 826)
('11/22/2007', 'DATETIME', 'Report Date', 'VALID', 831)
('01/03/2014', 'DATETIME', 'Report Date', 'VALID', 836)
('11/07/2012', 'DATETIME', 'Report Date', 'VALID', 846)
('12/24/2014', 'DATETIME', 'Report Date', 'VALID', 851)
('01/26/2015', 'DATETIME', 'Report Date', 'VALID', 855)
('03/02/2009', 'DATETIME', 'Report Date', 'VALID', 863)
('01/27/2011', 'DATETIME', 'Report Date', 'VALID', 864)
('12/31/2014', 'DATETIME', 'Report Date', 'VALID', 875)
('01/04/2015', 'DATETIME', 'Report Date', 'VALID', 878)
