('975', 'INT', 'Crime Classication Code', 'VALID', 1)
('819', 'INT', 'Crime Classication Code', 'VALID', 1)
('814', 'INT', 'Crime Classication Code', 'VALID', 1)
('148', 'INT', 'Crime Classication Code', 'VALID', 1)
('885', 'INT', 'Crime Classication Code', 'VALID', 1)
('146', 'INT', 'Crime Classication Code', 'VALID', 1)
('522', 'INT', 'Crime Classication Code', 'VALID', 1)
('667', 'INT', 'Crime Classication Code', 'VALID', 1)
('798', 'INT', 'Crime Classication Code', 'VALID', 1)
('678', 'INT', 'Crime Classication Code', 'VALID', 1)
('813', 'INT', 'Crime Classication Code', 'VALID', 1)
('839', 'INT', 'Crime Classication Code', 'VALID', 1)
('184', 'INT', 'Crime Classication Code', 'VALID', 2)
('836', 'INT', 'Crime Classication Code', 'VALID', 2)
('860', 'INT', 'Crime Classication Code', 'VALID', 2)
('523', 'INT', 'Crime Classication Code', 'VALID', 2)
('787', 'INT', 'Crime Classication Code', 'VALID', 2)
('820', 'INT', 'Crime Classication Code', 'VALID', 2)
('614', 'INT', 'Crime Classication Code', 'VALID', 2)
('861', 'INT', 'Crime Classication Code', 'VALID', 2)
('119', 'INT', 'Crime Classication Code', 'VALID', 3)
('783', 'INT', 'Crime Classication Code', 'VALID', 3)
('689', 'INT', 'Crime Classication Code', 'VALID', 3)
('162', 'INT', 'Crime Classication Code', 'VALID', 3)
('178', 'INT', 'Crime Classication Code', 'VALID', 3)
('646', 'INT', 'Crime Classication Code', 'VALID', 3)
('589', 'INT', 'Crime Classication Code', 'VALID', 3)
('694', 'INT', 'Crime Classication Code', 'VALID', 3)
('622', 'INT', 'Crime Classication Code', 'VALID', 3)
('796', 'INT', 'Crime Classication Code', 'VALID', 3)
('685', 'INT', 'Crime Classication Code', 'VALID', 3)
('786', 'INT', 'Crime Classication Code', 'VALID', 4)
('427', 'INT', 'Crime Classication Code', 'VALID', 4)
('876', 'INT', 'Crime Classication Code', 'VALID', 4)
('143', 'INT', 'Crime Classication Code', 'VALID', 4)
('846', 'INT', 'Crime Classication Code', 'VALID', 5)
('574', 'INT', 'Crime Classication Code', 'VALID', 5)
('355', 'INT', 'Crime Classication Code', 'VALID', 5)
('737', 'INT', 'Crime Classication Code', 'VALID', 5)
('845', 'INT', 'Crime Classication Code', 'VALID', 6)
('513', 'INT', 'Crime Classication Code', 'VALID', 6)
('693', 'INT', 'Crime Classication Code', 'VALID', 7)
