('577', 'INT', 'Offense Level', 'VALID', 3)
('362', 'INT', 'Offense Level', 'VALID', 3)
('123', 'INT', 'Offense Level', 'VALID', 4)
('357', 'INT', 'Offense Level', 'VALID', 11)
('881', 'INT', 'Offense Level', 'VALID', 13)
('460', 'INT', 'Offense Level', 'VALID', 16)
('685', 'INT', 'Offense Level', 'VALID', 19)
('672', 'INT', 'Offense Level', 'VALID', 21)
('676', 'INT', 'Offense Level', 'VALID', 33)
('103', 'INT', 'Offense Level', 'VALID', 36)
('366', 'INT', 'Offense Level', 'VALID', 47)
('119', 'INT', 'Offense Level', 'VALID', 49)
('349', 'INT', 'Offense Level', 'VALID', 50)
('455', 'INT', 'Offense Level', 'VALID', 62)
('102', 'INT', 'Offense Level', 'VALID', 94)
('354', 'INT', 'Offense Level', 'VALID', 97)
('234', 'INT', 'Offense Level', 'VALID', 112)
('122', 'INT', 'Offense Level', 'VALID', 125)
('115', 'INT', 'Offense Level', 'VALID', 137)
('237', 'INT', 'Offense Level', 'VALID', 176)
('571', 'INT', 'Offense Level', 'VALID', 217)
('677', 'INT', 'Offense Level', 'VALID', 272)
('230', 'INT', 'Offense Level', 'VALID', 349)
('120', 'INT', 'Offense Level', 'VALID', 428)
('356', 'INT', 'Offense Level', 'VALID', 731)
('346', 'INT', 'Offense Level', 'VALID', 846)
('363', 'INT', 'Offense Level', 'VALID', 866)
('572', 'INT', 'Offense Level', 'VALID', 902)
('342', 'INT', 'Offense Level', 'VALID', 948)
('675', 'INT', 'Offense Level', 'VALID', 1512)
('345', 'INT', 'Offense Level', 'VALID', 1589)
('350', 'INT', 'Offense Level', 'VALID', 2167)
('124', 'INT', 'Offense Level', 'VALID', 2449)
('231', 'INT', 'Offense Level', 'VALID', 2740)
('238', 'INT', 'Offense Level', 'VALID', 2857)
('125', 'INT', 'Offense Level', 'VALID', 4444)
('101', 'INT', 'Offense Level', 'VALID', 4909)
('364', 'INT', 'Offense Level', 'VALID', 6422)
('678', 'INT', 'Offense Level', 'VALID', 9253)
('111', 'INT', 'Offense Level', 'VALID', 9882)
('365', 'INT', 'Offense Level', 'VALID', 10879)
('116', 'INT', 'Offense Level', 'VALID', 12165)
('355', 'INT', 'Offense Level', 'VALID', 13568)
('343', 'INT', 'Offense Level', 'VALID', 14725)
('114', 'INT', 'Offense Level', 'VALID', 14760)
('104', 'INT', 'Offense Level', 'VALID', 15228)
('353', 'INT', 'Offense Level', 'VALID', 15636)
('360', 'INT', 'Offense Level', 'VALID', 16064)
('358', 'INT', 'Offense Level', 'VALID', 18984)
('232', 'INT', 'Offense Level', 'VALID', 21307)
('340', 'INT', 'Offense Level', 'VALID', 35453)
('233', 'INT', 'Offense Level', 'VALID', 49090)
('113', 'INT', 'Offense Level', 'VALID', 55586)
('118', 'INT', 'Offense Level', 'VALID', 56027)
('112', 'INT', 'Offense Level', 'VALID', 61563)
('348', 'INT', 'Offense Level', 'VALID', 65719)
('117', 'INT', 'Offense Level', 'VALID', 67430)
('352', 'INT', 'Offense Level', 'VALID', 70477)
('236', 'INT', 'Offense Level', 'VALID', 78687)
('347', 'INT', 'Offense Level', 'VALID', 79698)
('121', 'INT', 'Offense Level', 'VALID', 82383)
('110', 'INT', 'Offense Level', 'VALID', 108387)
('359', 'INT', 'Offense Level', 'VALID', 109069)
('126', 'INT', 'Offense Level', 'VALID', 125382)
('107', 'INT', 'Offense Level', 'VALID', 204397)
('106', 'INT', 'Offense Level', 'VALID', 204959)
('105', 'INT', 'Offense Level', 'VALID', 214273)
('235', 'INT', 'Offense Level', 'VALID', 303703)
('361', 'INT', 'Offense Level', 'VALID', 305867)
('351', 'INT', 'Offense Level', 'VALID', 472265)
('109', 'INT', 'Offense Level', 'VALID', 473466)
('344', 'INT', 'Offense Level', 'VALID', 574113)
('578', 'INT', 'Offense Level', 'VALID', 670071)
('341', 'INT', 'Offense Level', 'VALID', 903763)
